date,gdp,fce,gfcf,exports,imports,hfce,bi,di,gfce,pub_gfcf,twi,emp,rnu,unemp,cpi
1966-09-01,106234,68408,18810,11462,6887,51693,NA,6512,16398,6029,NA,4836.1,1.8,90.3,8.6
1966-12-01,106933,69397,18789,11427,7085,52513,NA,6670,16536,5984,NA,4855.3,1.7,85.7,8.7
1967-03-01,111115,70536,19096,12102,7533,53307,NA,6647,16905,6097,NA,4886.3,1.8,91,8.8
1967-06-01,110958,70694,19334,13197,7562,53479,NA,6874,16868,6379,NA,4907.5,2,98.4,8.9
1967-09-01,113039,72079,19915,12435,7346,54383,NA,7085,17398,6497,NA,4945.7,1.9,97.7,9
1967-12-01,114019,73039,20009,13199,7693,54889,NA,7281,17934,6338,NA,4972.4,1.8,92.9,9
1968-03-01,113001,75132,20692,12014,8711,56151,NA,7460,18876,6674,NA,5003.3,1.9,94.3,9.1
1968-06-01,117352,74809,21019,12854,8189,56040,NA,7625,18607,6747,NA,5033,1.9,97.6,9.1
1968-09-01,118899,75474,21199,12859,8237,56844,NA,7817,18347,6536,NA,5068.6,1.8,95.5,9.2
1968-12-01,123336,76733,21726,14671,8382,57726,NA,8197,18748,6423,NA,5079.5,1.7,88.1,9.2
1969-03-01,122487,78132,21649,12710,8192,58983,NA,8420,18820,6509,NA,5139.6,1.8,94.9,9.4
1969-06-01,124915,79206,22279,13555,8230,59690,NA,8625,19231,6629,NA,5159.2,1.8,92.5,9.4
1969-09-01,126979,80906,22164,15254,8641,60834,NA,8893,19833,6358,NA,5196.4,1.7,91.8,9.5
1969-12-01,129913,82329,22542,15951,9010,61694,NA,9029,20457,6793,NA,5253.9,1.9,104.1,9.5
1970-03-01,132599,82418,22247,15675,8998,62125,NA,9204,19969,6310,NA,5320.6,1.6,88.3,9.6
1970-06-01,135280,83696,22749,15750,9147,62867,NA,9002,20571,6923,NA,5369.6,1.7,91.6,9.7
1970-09-01,134996,84978,22530,16661,9139,63664,NA,9038,21115,6628,NA,5410.1,1.7,91.9,9.8
1970-12-01,135628,85961,22942,17477,9303,64354,NA,8797,21429,6675,NA,5448.4,1.6,90.8,10
1971-03-01,137273,85865,23670,16596,9212,64300,NA,8882,21388,6657,NA,5482.3,1.7,97.3,10.1
1971-06-01,137869,86182,23449,17952,9240,64815,NA,9201,21100,6464,NA,5523,1.9,106.1,10.2
1971-09-01,142180,88746,24414,17929,9163,66451,NA,9486,22106,7252,NA,5532.4,1.9,107.7,10.5
1971-12-01,141730,88200,23640,18733,8569,66128,NA,9800,21859,7101,NA,5527.1,2.2,121.8,10.7
1972-03-01,140039,89049,23475,18771,8525,66454,NA,9703,22472,7217,NA,5537,2.4,139,10.8
1972-06-01,143159,89825,23662,18397,7695,67364,NA,10726,22238,7018,NA,5562.1,2.4,135,10.9
1972-09-01,142434,90764,24094,17974,7609,68079,NA,10597,22457,7192,NA,5629.8,2.9,168.6,11.1
1972-12-01,143926,91589,24269,19954,8314,68843,NA,10735,22479,7084,NA,5675,2.8,160.9,11.2
1973-03-01,147661,94009,24818,19405,9176,70484,NA,11100,23301,7103,NA,5704.1,2.6,151.8,11.4
1973-06-01,147941,95051,24922,17984,9281,71505,NA,11337,23263,6822,NA,5711.1,2.3,135.3,11.8
1973-09-01,149420,96234,25329,17923,10131,72318,NA,11729,23655,6917,NA,5807.5,2.1,125.3,12.2
1973-12-01,153156,96645,26140,18803,10722,73364,NA,11591,22850,6915,NA,5836.5,2.1,126.9,12.6
1974-03-01,153199,99306,26196,16849,11814,75140,NA,10442,23769,7553,NA,5900.2,2.1,128.9,13
1974-06-01,150090,99626,24624,17189,12142,75632,NA,9765,23535,7203,NA,5905.8,2.1,129.4,13.5
1974-09-01,151869,102072,23950,18712,13057,77055,NA,8840,24628,7344,NA,5883,2.7,165.1,14.2
1974-12-01,152030,102122,23711,19593,12260,76546,NA,8277,25292,8115,NA,5875.5,4,247.1,14.7
1975-03-01,152613,104327,23893,19283,10507,78264,NA,8127,25774,8034,NA,5827.7,4.8,296.5,15.3
1975-06-01,157445,105621,24180,20099,10138,78933,NA,8105,26453,8354,NA,5836.3,4.8,294.2,15.8
1975-09-01,155698,105997,24473,19619,10295,78359,NA,8863,27470,8160,NA,5870.5,4.7,287.6,15.9
1975-12-01,153356,104145,24287,20045,10803,76833,NA,9894,27142,8254,NA,5931.2,5.4,334.8,16.8
1976-03-01,160162,106533,24803,20135,11184,78218,NA,11232,28157,7442,NA,5949.9,4.9,303.6,17.3
