date,rnu,emp,unemp
1/08/1966,1.8,"4,836.10",90.3
1/09/1966,1.8,"4,836.10",90.3
1/10/1966,1.7,"4,855.30",85.7
1/11/1966,1.7,"4,855.30",85.7
1/12/1966,1.7,"4,855.30",85.7
1/01/1967,1.8,"4,886.30",91
1/02/1967,1.8,"4,886.30",91
1/03/1967,1.8,"4,886.30",91
1/04/1967,2,"4,907.50",98.4
1/05/1967,2,"4,907.50",98.4
1/06/1967,2,"4,907.50",98.4
1/07/1967,1.9,"4,945.70",97.7
1/08/1967,1.9,"4,945.70",97.7
1/09/1967,1.9,"4,945.70",97.7
1/10/1967,1.8,"4,972.40",92.9
1/11/1967,1.8,"4,972.40",92.9
1/12/1967,1.8,"4,972.40",92.9
1/01/1968,1.9,"5,003.30",94.3
1/02/1968,1.9,"5,003.30",94.3
1/03/1968,1.9,"5,003.30",94.3
1/04/1968,1.9,"5,033.00",97.6
1/05/1968,1.9,"5,033.00",97.6
1/06/1968,1.9,"5,033.00",97.6
1/07/1968,1.8,"5,068.60",95.5
1/08/1968,1.8,"5,068.60",95.5
1/09/1968,1.8,"5,068.60",95.5
1/10/1968,1.7,"5,079.50",88.1
1/11/1968,1.7,"5,079.50",88.1
1/12/1968,1.7,"5,079.50",88.1
1/01/1969,1.8,"5,139.60",94.9
1/02/1969,1.8,"5,139.60",94.9
1/03/1969,1.8,"5,139.60",94.9
1/04/1969,1.8,"5,159.20",92.5
1/05/1969,1.8,"5,159.20",92.5
1/06/1969,1.8,"5,159.20",92.5
1/07/1969,1.7,"5,196.40",91.8
1/08/1969,1.7,"5,196.40",91.8
1/09/1969,1.7,"5,196.40",91.8
1/10/1969,1.9,"5,253.90",104.1
1/11/1969,1.9,"5,253.90",104.1
1/12/1969,1.9,"5,253.90",104.1
1/01/1970,1.6,"5,320.60",88.3
1/02/1970,1.6,"5,320.60",88.3
1/03/1970,1.6,"5,320.60",88.3
1/04/1970,1.7,"5,369.60",91.6
1/05/1970,1.7,"5,369.60",91.6
1/06/1970,1.7,"5,369.60",91.6
1/07/1970,1.7,"5,410.10",91.9
1/08/1970,1.7,"5,410.10",91.9
1/09/1970,1.7,"5,410.10",91.9
1/10/1970,1.6,"5,448.40",90.8
1/11/1970,1.6,"5,448.40",90.8
1/12/1970,1.6,"5,448.40",90.8
1/01/1971,1.7,"5,482.30",97.3
1/02/1971,1.7,"5,482.30",97.3
1/03/1971,1.7,"5,482.30",97.3
1/04/1971,1.9,"5,523.00",106.1
1/05/1971,1.9,"5,523.00",106.1
1/06/1971,1.9,"5,523.00",106.1
1/07/1971,1.9,"5,532.40",107.7
1/08/1971,1.9,"5,532.40",107.7
1/09/1971,1.9,"5,532.40",107.7
1/10/1971,2.2,"5,527.10",121.8
1/11/1971,2.2,"5,527.10",121.8
1/12/1971,2.2,"5,527.10",121.8
1/01/1972,2.4,"5,537.00",139
1/02/1972,2.4,"5,537.00",139
1/03/1972,2.4,"5,537.00",139
1/04/1972,2.4,"5,562.10",135
1/05/1972,2.4,"5,562.10",135
1/06/1972,2.4,"5,562.10",135
1/07/1972,2.9,"5,629.80",168.6
1/08/1972,2.9,"5,629.80",168.6
1/09/1972,2.9,"5,629.80",168.6
1/10/1972,2.8,"5,675.00",160.9
1/11/1972,2.8,"5,675.00",160.9
1/12/1972,2.8,"5,675.00",160.9
1/01/1973,2.6,"5,704.10",151.8
